Date : 2023-12-03 17:38:38
Directory : c:\Users\haoti\Documents\GitHub\blockgamev2
Total : 121 files,  -10875 codes, -262 comments, -434 blanks, all -11571 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |          3 |          1 |          0 |          0 |          1 |
| Lua      |        118 |    -10,876 |       -262 |       -434 |    -11,572 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        121 |    -10,875 |       -262 |       -434 |    -11,571 |
| . (Files)                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                                                   |        120 |    -10,876 |       -262 |       -434 |    -11,572 |
| src\ReplicatedStorage                                                                                                                                 |         59 |     -4,489 |        -41 |        -46 |     -4,576 |
| src\ReplicatedStorage (Files)                                                                                                                         |          6 |       -170 |         -9 |         18 |       -161 |
| src\ReplicatedStorage\BehaviorPacks                                                                                                                   |         32 |     -3,517 |        -16 |        -61 |     -3,594 |
| src\ReplicatedStorage\BehaviorPacksV2                                                                                                                 |          3 |        -80 |          0 |         -5 |        -85 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic                                                                                                           |          3 |        -80 |          0 |         -5 |        -85 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic (Files)                                                                                                   |          1 |          0 |          1 |          0 |          1 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\BlockCollisionBoxes                                                                                       |          1 |         -1 |          0 |          1 |          0 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\Items                                                                                                     |          1 |        -79 |         -1 |         -6 |        -86 |
| src\ReplicatedStorage\BehaviorPacks\Cubic                                                                                                             |         32 |     -3,517 |        -16 |        -61 |     -3,594 |
| src\ReplicatedStorage\BehaviorPacks\Cubic (Files)                                                                                                     |          6 |       -396 |        -13 |        -10 |       -419 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes                                                                                                      |          1 |        -16 |          0 |         -1 |        -17 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\BlockHitboxes                                                                                               |          1 |        -21 |          0 |          0 |        -21 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Blocks                                                                                                      |          1 |       -133 |         -1 |        -19 |       -153 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Crafting                                                                                                    |          1 |        -50 |          0 |         -6 |        -56 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Entities                                                                                                    |          3 |       -121 |          0 |        -11 |       -132 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Features                                                                                                    |          1 |        -70 |         -1 |         -2 |        -73 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Items                                                                                                       |          1 |        -80 |         -1 |         -6 |        -87 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration                                                                                             |         17 |     -2,630 |          0 |         -6 |     -2,636 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c                                                                                           |         17 |     -2,630 |          0 |         -6 |     -2,636 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c (Files)                                                                                   |          1 |        -41 |          0 |         -1 |        -42 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function                                                                          |         15 |     -2,316 |          0 |         -1 |     -2,317 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function (Files)                                                                  |          4 |        -28 |          0 |          0 |        -28 |
