"filename", "language", "JSON", "Markdown", "Log", "Lua", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\README.md", "Markdown", 0, 12, 0, 0, 0, 5, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\default.project.json", "JSON", 48, 0, 0, 0, 0, 0, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\rbxlx-to-rojo.log", "Log", 0, 0, 2, 0, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\sourcemap.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandlerV2.lua", "Lua", 0, 0, 0, 99, 1, 5, 105
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Behaviors.lua", "Lua", 0, 0, 0, 15, 1, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Biomes\init.lua", "Lua", 0, 0, 0, 16, 0, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\BlockCollisionBoxes\init.lua", "Lua", 0, 0, 0, 20, 0, 1, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Blocks\init.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Crafting\init.lua", "Lua", 0, 0, 0, 50, 0, 6, 56
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Entities\Npc.lua", "Lua", 0, 0, 0, 32, 0, 4, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Entities\Player.lua", "Lua", 0, 0, 0, 30, 0, 3, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Entities\init.lua", "Lua", 0, 0, 0, 28, 0, 5, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Features\init.lua", "Lua", 0, 0, 0, 70, 1, 2, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Functions.lua", "Lua", 0, 0, 0, 198, 10, 3, 211
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Info.lua", "Lua", 0, 0, 0, 2, 0, 0, 2
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\Items\init.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\CubicalSurface.lua", "Lua", 0, 0, 0, 17, 0, 0, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\base_3d_noise.lua", "Lua", 0, 0, 0, 8, 0, 0, 8
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\continents.lua", "Lua", 0, 0, 0, 13, 0, 0, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\depth.lua", "Lua", 0, 0, 0, 18, 0, 0, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\erosion.lua", "Lua", 0, 0, 0, 13, 0, 0, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\factor.lua", "Lua", 0, 0, 0, 709, 0, 0, 709
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\jaggedness.lua", "Lua", 0, 0, 0, 246, 0, 0, 246
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\offset.lua", "Lua", 0, 0, 0, 1200, 0, 1, 1201
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\ridges.lua", "Lua", 0, 0, 0, 13, 0, 0, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\ridges_folded.lua", "Lua", 0, 0, 0, 19, 0, 0, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld\sloped_cheese.lua", "Lua", 0, 0, 0, 32, 0, 0, 32
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\shift_x.lua", "Lua", 0, 0, 0, 10, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\shift_z.lua", "Lua", 0, 0, 0, 10, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\y.lua", "Lua", 0, 0, 0, 7, 0, 0, 7
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\zero.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\noise.lua", "Lua", 0, 0, 0, 41, 0, 1, 42
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\noise_settings\overworld.lua", "Lua", 0, 0, 0, 273, 0, 4, 277
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BlockPool.lua", "Lua", 0, 0, 0, 55, 0, 13, 68
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\Bridge.lua", "Lua", 0, 0, 0, 19, 0, 2, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ClientBridge.lua", "Lua", 0, 0, 0, 351, 12, 88, 451
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\CreateBridgeTree.lua", "Lua", 0, 0, 0, 45, 0, 13, 58
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\SerdesLayer.lua", "Lua", 0, 0, 0, 173, 9, 51, 233
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ServerBridge.lua", "Lua", 0, 0, 0, 636, 24, 126, 786
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\init.lua", "Lua", 0, 0, 0, 148, 9, 37, 194
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Chunk.lua", "Lua", 0, 0, 0, 276, 0, 6, 282
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ChunkV2\init.lua", "Lua", 0, 0, 0, 46, 1, 5, 52
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\CollisonHandler.lua", "Lua", 0, 0, 0, 311, 10, 22, 343
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Data\init.lua", "Lua", 0, 0, 0, 57, 0, 0, 57
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Animator.lua", "Lua", 0, 0, 0, 151, 0, 6, 157
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityCollisionHandler.lua", "Lua", 0, 0, 0, 301, 3, 11, 315
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityHolder.lua", "Lua", 0, 0, 0, 19, 0, 0, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\AnimatorR.lua", "Lua", 0, 0, 0, 81, 0, 0, 81
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\Client.lua", "Lua", 0, 0, 0, 209, 3, 2, 214
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\EntityTCP.model.json", "JSON", 3, 0, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\EntityTaskReplicator.lua", "Lua", 0, 0, 0, 50, 0, 4, 54
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\EntityUDP.model.json", "JSON", 3, 0, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\ReplicatorUtils.lua", "Lua", 0, 0, 0, 167, 9, 8, 184
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\Server.lua", "Lua", 0, 0, 0, 3, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\TaskReplicator.lua", "Lua", 0, 0, 0, 86, 0, 5, 91
