Date : 2023-12-11 18:20:23
Directory : c:\Users\haoti\Documents\GitHub\blockgamev2
Total : 145 files,  456 codes, -10 comments, 93 blanks, all 539 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |        126 |        469 |        -10 |        102 |        561 |
| JSON     |         19 |        -13 |          0 |         -9 |        -22 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        145 |        456 |        -10 |         93 |        539 |
| src                                                                                                                                                     |        145 |        456 |        -10 |         93 |        539 |
| src\ReplicatedStorage                                                                                                                                   |        110 |       -468 |        -12 |         -5 |       -485 |
| src\ReplicatedStorage (Files)                                                                                                                           |          4 |       -329 |         -8 |         -4 |       -341 |
| src\ReplicatedStorage\BehaviorPacks                                                                                                                     |         29 |      2,897 |          3 |         30 |      2,930 |
| src\ReplicatedStorage\BehaviorPacksV2                                                                                                                   |         29 |     -3,093 |        -12 |        -32 |     -3,137 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic                                                                                                             |         29 |     -3,093 |        -12 |        -32 |     -3,137 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic (Files)                                                                                                     |          3 |       -215 |        -11 |         -4 |       -230 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\Biomes                                                                                                      |          1 |        -16 |          0 |         -1 |        -17 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\BlockCollisionBoxes                                                                                         |          1 |        -20 |          0 |         -1 |        -21 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\Blocks                                                                                                      |          1 |         -1 |          0 |          0 |         -1 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\Crafting                                                                                                    |          1 |        -50 |          0 |         -6 |        -56 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\Entities                                                                                                    |          3 |        -90 |          0 |        -12 |       -102 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\Features                                                                                                    |          1 |        -70 |         -1 |         -2 |        -73 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\Items                                                                                                       |          1 |         -1 |          0 |          0 |         -1 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration                                                                                             |         17 |     -2,630 |          0 |         -6 |     -2,636 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c                                                                                           |         17 |     -2,630 |          0 |         -6 |     -2,636 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c (Files)                                                                                   |          1 |        -41 |          0 |         -1 |        -42 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function                                                                          |         15 |     -2,316 |          0 |         -1 |     -2,317 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function (Files)                                                                  |          4 |        -28 |          0 |          0 |        -28 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\density_function\overworld                                                                |         11 |     -2,288 |          0 |         -1 |     -2,289 |
| src\ReplicatedStorage\BehaviorPacksV2\Cubic\WorldGeneration\c\noise_settings                                                                            |          1 |       -273 |          0 |         -4 |       -277 |
| src\ReplicatedStorage\BehaviorPacks\Cubic                                                                                                               |         29 |      2,897 |          3 |         30 |      2,930 |
| src\ReplicatedStorage\BehaviorPacks\Cubic (Files)                                                                                                       |          3 |         19 |          2 |          2 |         23 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes                                                                                                        |          1 |         16 |          0 |          1 |         17 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\BlockCollisionBoxes                                                                                           |          1 |         20 |          0 |          1 |         21 |
