"filename", "language", "Markdown", "Log", "JSON", "Lua", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\README.md", "Markdown", 12, 0, 0, 0, 0, 5, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\default.project.json", "JSON", 0, 0, 48, 0, 0, 0, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\rbxlx-to-rojo.log", "Log", 0, 2, 0, 0, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\sourcemap.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandler.lua", "Lua", 0, 0, 0, 99, 1, 5, 105
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Behaviors.lua", "Lua", 0, 0, 0, 15, 1, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes\init.lua", "Lua", 0, 0, 0, 16, 0, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\BlockCollisionBoxes\init.lua", "Lua", 0, 0, 0, 20, 0, 1, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Blocks\init.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Crafting\init.lua", "Lua", 0, 0, 0, 50, 0, 6, 56
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Npc.lua", "Lua", 0, 0, 0, 32, 0, 4, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Player.lua", "Lua", 0, 0, 0, 30, 0, 3, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\init.lua", "Lua", 0, 0, 0, 28, 0, 5, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Features\init.lua", "Lua", 0, 0, 0, 70, 1, 2, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Functions.lua", "Lua", 0, 0, 0, 2, 1, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Info.lua", "Lua", 0, 0, 0, 2, 0, 0, 2
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Items\init.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BlockPool.lua", "Lua", 0, 0, 0, 55, 0, 13, 68
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\Bridge.lua", "Lua", 0, 0, 0, 19, 0, 2, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ClientBridge.lua", "Lua", 0, 0, 0, 351, 12, 88, 451
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\CreateBridgeTree.lua", "Lua", 0, 0, 0, 45, 0, 13, 58
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\SerdesLayer.lua", "Lua", 0, 0, 0, 173, 9, 51, 233
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ServerBridge.lua", "Lua", 0, 0, 0, 636, 24, 126, 786
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\init.lua", "Lua", 0, 0, 0, 148, 9, 37, 194
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Chunk\init.lua", "Lua", 0, 0, 0, 47, 1, 5, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\CollisonHandler.lua", "Lua", 0, 0, 0, 311, 10, 22, 343
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Data\init.lua", "Lua", 0, 0, 0, 57, 0, 0, 57
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Animator.lua", "Lua", 0, 0, 0, 151, 0, 6, 157
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityCollisionHandler.lua", "Lua", 0, 0, 0, 301, 3, 11, 315
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityHolder.lua", "Lua", 0, 0, 0, 19, 0, 0, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\AnimatorR.lua", "Lua", 0, 0, 0, 81, 0, 0, 81
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\Client.lua", "Lua", 0, 0, 0, 209, 3, 2, 214
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\EntityTCP.model.json", "JSON", 0, 0, 3, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\EntityTaskReplicator.lua", "Lua", 0, 0, 0, 50, 0, 4, 54
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\EntityUDP.model.json", "JSON", 0, 0, 3, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\ReplicatorUtils.lua", "Lua", 0, 0, 0, 167, 9, 8, 184
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\Server.lua", "Lua", 0, 0, 0, 3, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\TaskReplicator.lua", "Lua", 0, 0, 0, 85, 0, 5, 90
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Render.lua", "Lua", 0, 0, 0, 156, 1, 5, 162
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Updater.lua", "Lua", 0, 0, 0, 31, 0, 1, 32
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Utils.lua", "Lua", 0, 0, 0, 181, 8, 6, 195
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\init.lua", "Lua", 0, 0, 0, 351, 17, 11, 379
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\Chunk.model.json", "JSON", 0, 0, 3, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\TaskUpdater.model.json", "JSON", 0, 0, 3, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\GameSettings.lua", "Lua", 0, 0, 0, 15, 1, 2, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Debris.lua", "Lua", 0, 0, 0, 53, 0, 0, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\ErrorHandler.lua", "Lua", 0, 0, 0, 10, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\MathFunctions.lua", "Lua", 0, 0, 0, 184, 3, 8, 195
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Signal.lua", "Lua", 0, 0, 0, 59, 2, 15, 76
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\WorkerHandler.lua", "Lua", 0, 0, 0, 62, 6, 7, 75
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\compressor.lua", "Lua", 0, 0, 0, 169, 2, 12, 183
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ModHandler\init.lua", "Lua", 0, 0, 0, 223, 9, 29, 261
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ResourceHandler.lua", "Lua", 0, 0, 0, 68, 0, 6, 74
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Runner.lua", "Lua", 0, 0, 0, 38, 0, 3, 41
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\BlockUtils.lua", "Lua", 0, 0, 0, 41, 0, 18, 59
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\ConversionUtils.lua", "Lua", 0, 0, 0, 25, 4, 7, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\EntityUtils.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\IndexUtils.lua", "Lua", 0, 0, 0, 122, 0, 10, 132
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\RotationUtils.lua", "Lua", 0, 0, 0, 179, 0, 0, 179
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerScriptService\__init__.server.lua", "Lua", 0, 0, 0, 25, 0, 1, 26
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\Data.lua", "Lua", 0, 0, 0, 29, 0, 11, 40
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\Biome.lua", "Lua", 0, 0, 0, 13, 1, 4, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\LayerStack.lua", "Lua", 0, 0, 0, 9, 0, 1, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\biomeUtils.lua", "Lua", 0, 0, 0, 65, 0, 5, 70
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\init.lua", "Lua", 0, 0, 0, 57, 0, 0, 57
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\land\BaseLandLayer.lua", "Lua", 0, 0, 0, 10, 0, 1, 11
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\land\IslandLayer.lua", "Lua", 0, 0, 0, 18, 0, 1, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\land\LandLayer.lua", "Lua", 0, 0, 0, 30, 0, 0, 30
