Date : 2023-12-17 15:12:03
Directory : c:\Users\haoti\Documents\GitHub\blockgamev2
Total : 53 files,  455 codes, 5 comments, 29 blanks, all 489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |         49 |        455 |          5 |         29 |        489 |
| JSON     |          4 |          0 |          0 |          0 |          0 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |         53 |        455 |          5 |         29 |        489 |
| src                                                                                                                                   |         53 |        455 |          5 |         29 |        489 |
| src\ReplicatedStorage                                                                                                                 |         13 |        123 |          1 |          9 |        133 |
| src\ReplicatedStorage (Files)                                                                                                         |          3 |        -19 |          0 |        -12 |        -31 |
| src\ReplicatedStorage\BehaviorPacks                                                                                                   |          2 |         28 |          0 |          0 |         28 |
| src\ReplicatedStorage\BehaviorPacks\Cubic                                                                                             |          2 |         28 |          0 |          0 |         28 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes                                                                                      |          1 |         29 |          0 |          0 |         29 |
| src\ReplicatedStorage\BehaviorPacks\Cubic\Blocks                                                                                      |          1 |         -1 |          0 |          0 |         -1 |
| src\ReplicatedStorage\Block                                                                                                           |          2 |        112 |          0 |         15 |        127 |
| src\ReplicatedStorage\BridgeNet                                                                                                       |          2 |          3 |          1 |         -1 |          3 |
| src\ReplicatedStorage\Chunk                                                                                                           |          1 |          7 |          0 |          0 |          7 |
| src\ReplicatedStorage\Data                                                                                                            |          1 |          4 |          0 |          0 |          4 |
| src\ReplicatedStorage\Libarys                                                                                                         |          2 |        -12 |          0 |          7 |         -5 |
| src\ServerStorage                                                                                                                     |         34 |        326 |          4 |         22 |        352 |
| src\ServerStorage\Generation                                                                                                          |         18 |        853 |          8 |         54 |        915 |
| src\ServerStorage\Generation\generation                                                                                               |         18 |        853 |          8 |         54 |        915 |
| src\ServerStorage\Generation\generation\biomes                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src\ServerStorage\Generation\generation\biomes\layers                                                                                 |          1 |          1 |          0 |          0 |          1 |
| src\ServerStorage\Generation\generation\chunk                                                                                         |         17 |        852 |          8 |         54 |        914 |
| src\ServerStorage\Generation\generation\chunk (Files)                                                                                 |          1 |         12 |          0 |          3 |         15 |
| src\ServerStorage\Generation\generation\chunk\GenerationLayer                                                                         |          8 |        238 |          0 |         17 |        255 |
| src\ServerStorage\Generation\generation\chunk\GenerationLayer (Files)                                                                 |          1 |         53 |          0 |          3 |         56 |
| src\ServerStorage\Generation\generation\chunk\GenerationLayer\biome                                                                   |          1 |         10 |          0 |          2 |         12 |
| src\ServerStorage\Generation\generation\chunk\GenerationLayer\color                                                                   |          1 |          9 |          0 |          3 |         12 |
| src\ServerStorage\Generation\generation\chunk\GenerationLayer\lerp                                                                    |          2 |        125 |          0 |          4 |        129 |
| src\ServerStorage\Generation\generation\chunk\GenerationLayer\noise                                                                   |          1 |         12 |          0 |          2 |         14 |
| src\ServerStorage\Generation\generation\chunk\GenerationLayer\other                                                                   |          2 |         29 |          0 |          3 |         32 |
| src\ServerStorage\Generation\generation\chunk\Generator                                                                               |          8 |        602 |          8 |         34 |        644 |
| src\ServerStorage\Generation\generation\chunk\Generator (Files)                                                                       |          4 |        155 |          5 |         19 |        179 |
| src\ServerStorage\Generation\generation\chunk\Generator\Actor                                                                         |          3 |         22 |          0 |          2 |         24 |
| src\ServerStorage\Generation\generation\chunk\Generator\Tasks                                                                         |          1 |        425 |          3 |         13 |        441 |
| src\ServerStorage\core                                                                                                                |         16 |       -527 |         -4 |        -32 |       -563 |
| src\ServerStorage\core\Chunk                                                                                                          |         16 |       -527 |         -4 |        -32 |       -563 |
| src\ServerStorage\core\Chunk (Files)                                                                                                  |          3 |         25 |          0 |          4 |         29 |
| src\ServerStorage\core\Chunk\GenerationLayer                                                                                          |          5 |       -160 |          0 |        -11 |       -171 |
| src\ServerStorage\core\Chunk\Generator                                                                                                |          8 |       -392 |         -4 |        -25 |       -421 |
| src\ServerStorage\core\Chunk\Generator (Files)                                                                                        |          5 |       -373 |         -4 |        -23 |       -400 |
| src\ServerStorage\core\Chunk\Generator\Actor                                                                                          |          3 |        -19 |          0 |         -2 |        -21 |
| src\StarterPlayer                                                                                                                     |          6 |          6 |          0 |         -2 |          4 |
| src\StarterPlayer\StarterPlayerScripts                                                                                                |          6 |          6 |          0 |         -2 |          4 |
| src\StarterPlayer\StarterPlayerScripts (Files)                                                                                        |          1 |         61 |          0 |          6 |         67 |
| src\StarterPlayer\StarterPlayerScripts\Render                                                                                         |          3 |        -77 |          0 |         -7 |        -84 |
| src\StarterPlayer\StarterPlayerScripts\core                                                                                           |          2 |         22 |          0 |         -1 |         21 |
| src\StarterPlayer\StarterPlayerScripts\core\chunk                                                                                     |          2 |         22 |          0 |         -1 |         21 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandler.lua                                                 | Lua      |          5 |          0 |          0 |          5 |
