"filename", "language", "JSON", "Lua", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\README.md", "Markdown", 0, 0, 0, 12, 0, 5, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\default.project.json", "JSON", 48, 0, 0, 0, 0, 0, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\rbxlx-to-rojo.log", "Log", 0, 0, 2, 0, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\sourcemap.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandler.lua", "Lua", 0, 104, 0, 0, 1, 5, 110
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Behaviors.lua", "Lua", 0, 15, 0, 0, 1, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes\init.lua", "Lua", 0, 45, 0, 0, 0, 1, 46
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\BlockCollisionBoxes\init.lua", "Lua", 0, 20, 0, 0, 0, 1, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Crafting\init.lua", "Lua", 0, 50, 0, 0, 0, 6, 56
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Npc.lua", "Lua", 0, 32, 0, 0, 0, 4, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Player.lua", "Lua", 0, 30, 0, 0, 0, 3, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\init.lua", "Lua", 0, 28, 0, 0, 0, 5, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Features\init.lua", "Lua", 0, 70, 0, 0, 1, 2, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Functions.lua", "Lua", 0, 2, 0, 0, 1, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Info.lua", "Lua", 0, 2, 0, 0, 0, 0, 2
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Items\init.lua", "Lua", 0, 1, 0, 0, 0, 0, 1
