"filename", "language", "JSON", "Luau", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\README.md", "Markdown", 0, 0, 0, 12, 0, 5, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\default.project.json", "JSON", 48, 0, 0, 0, 0, 0, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\rbxlx-to-rojo.log", "Log", 0, 0, 2, 0, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\sourcemap.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandler.lua", "Luau", 0, 119, 0, 0, 1, 5, 125
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Behaviors.lua", "Luau", 0, 15, 0, 0, 1, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes\init.lua", "Luau", 0, 45, 0, 0, 0, 1, 46
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\BlockCollisionBoxes\init.lua", "Luau", 0, 20, 0, 0, 0, 1, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Containers.lua", "Luau", 0, 64, 0, 0, 0, 5, 69
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Crafting\init.lua", "Luau", 0, 50, 0, 0, 0, 6, 56
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Npc.lua", "Luau", 0, 32, 0, 0, 0, 4, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Player.lua", "Luau", 0, 35, 0, 0, 0, 3, 38
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\init.lua", "Luau", 0, 46, 0, 0, 0, 8, 54
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Features\init.lua", "Luau", 0, 70, 0, 0, 1, 2, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Functions.lua", "Luau", 0, 2, 0, 0, 1, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Info.lua", "Luau", 0, 2, 0, 0, 0, 0, 2
